Designator,Mid X,Mid Y,Rotation,Layer
D1,6.025,-30.345013,0.0,bottom
D10,15.025,-8.377398,0.0,bottom
D11,23.996922,-8.345013,0.0,bottom
D12,32.992927,-8.384446,0.0,bottom
D2,15.053078,-30.377398,0.0,bottom
D3,24.025,-30.345013,0.0,bottom
D4,33.021005,-30.384446,0.0,bottom
D5,5.996922,-19.305804,0.0,bottom
D6,15.025,-19.338189,0.0,bottom
D7,23.996922,-19.305804,0.0,bottom
D8,32.992927,-19.345237,0.0,bottom
D9,5.996922,-8.345013,0.0,bottom
J1,14.675,-18.825,180.0,top
R1,4.189004,-27.667683,0.0,bottom
R10,13.189004,-5.700068,0.0,bottom
R11,22.160926,-5.667683,0.0,bottom
R12,31.156931,-5.707116,0.0,bottom
R2,13.217082,-27.700068,0.0,bottom
R3,22.189004,-27.667683,0.0,bottom
R4,31.185009,-27.707116,0.0,bottom
R5,4.160926,-16.628474,0.0,bottom
R6,13.189004,-16.660859,0.0,bottom
R7,22.160926,-16.628474,0.0,bottom
R8,31.156931,-16.667907,0.0,bottom
R9,4.160926,-5.667683,0.0,bottom
